CustomerID,TotalSpend,TotalQuantity,Frequency,Cluster
12346,77183.6,74215,1,4
12347,4309.999999999997,2458,182,1
12348,1797.24,2341,31,1
12349,1757.55,631,73,1
12350,334.40000000000003,197,17,1
12352,2506.040000000001,536,85,1
12353,89,20,4,1
12354,1079.4,530,58,1
12355,459.4,240,13,1
12356,2811.4300000000007,1591,59,1
12357,6207.669999999996,2708,131,1
12358,1168.06,248,19,1
12359,6372.580000000005,1622,248,2
12360,2662.0600000000004,1165,129,1
12361,189.9,91,10,1
12362,5226.230000000003,2229,266,2
12363,552,408,23,1
12364,1313.1,1506,85,1
12365,641.38,174,22,1
12367,168.9,173,11,1
12370,3545.689999999998,2353,167,1
12371,1887.9600000000005,591,63,1
12372,1298.0400000000002,794,52,1
12373,364.6,197,14,1
12374,742.93,342,33,1
12375,457.5000000000001,178,17,1
12377,1628.1199999999997,944,77,1
12378,4008.6200000000017,2529,219,1
12379,852.2399999999997,407,40,1
12380,2724.81,1127,104,1
12381,1845.3100000000009,808,87,1
12383,1850.5599999999995,1532,99,1
12384,585.2700000000001,126,27,1
12386,401.9,354,10,1
12388,2780.6600000000003,1462,100,1
12390,549.8399999999999,353,32,1
12391,460.88999999999993,300,100,1
12393,1582.6000000000004,816,64,1
12394,1272.48,819,27,1
12395,3018.6299999999987,2118,156,1
12397,2409.9000000000005,1263,126,1
12398,1635.66,1394,85,1
12399,1108.65,1178,59,1
12401,84.3,11,5,1
12402,225.6,94,11,1
12403,427.7,96,5,1
12405,1710.3900000000006,857,54,1
12406,3415.300000000001,1818,105,1
12407,1708.1199999999997,1416,77,1
12408,2888.5500000000006,1409,105,1
12409,11072.670000000002,5551,109,2
12410,693.3299999999999,211,26,1
12412,1226.88,829,61,1
12413,758.0999999999999,286,38,1
12414,562.41,300,18,1
12415,124914.52999999977,77374,714,4
12417,3649.1,1552,192,1
12418,668.5799999999997,407,34,1
12420,600.3900000000001,345,29,1
12421,807.0400000000002,484,45,1
12422,803.5599999999998,370,39,1
12423,1859.31,1339,125,1
12424,1760.9599999999998,740,30,1
12425,777.1999999999999,496,36,1
12426,582.7299999999999,258,30,1
12427,825.8000000000002,533,31,1
12428,7956.460000000004,3536,294,2
12429,3750.400000000001,1557,97,1
12430,256.4,117,11,1
12431,6487.449999999999,2906,235,2
12432,5059.3200000000015,1801,108,1
12433,13375.869999999992,11071,420,2
12434,806.14,394,50,1
12435,7829.889999999998,2055,36,1
12436,509.0100000000001,211,16,1
12437,4951.409999999997,2922,199,1
12438,2906.8500000000004,1180,98,1
12441,173.55,121,11,1
12442,172.06,182,12,1
12444,5005.46,1153,176,1
12445,133.4,62,4,1
12446,1002.3099999999998,351,57,1
12447,476.49,190,26,1
12448,449.4500000000001,243,22,1
12449,4067.290000000002,1553,191,1
12450,197.88,128,8,1
12451,9035.52,6575,354,2
12452,430.5700000000001,185,22,1
12453,707.0899999999999,473,43,1
12454,3528.34,1006,15,1
12455,2466.859999999997,2089,90,1
12456,3181.039999999998,1633,125,1
12457,2363.2299999999996,843,62,1
12458,947.4,506,38,1
12461,826.8800000000001,287,35,1
12462,1189.59,536,62,1
12463,1344.7799999999995,776,83,1
12464,1212.0499999999995,112,29,1
12465,742.1900000000002,479,47,1
12468,729.54,366,38,1
12471,19824.049999999945,8212,460,2
